City,x
Muscogee,1377.00
Muskegon,261.00
Muskingum,103.00
Muskogee,568.00
Musselshell,3.00
Nacogdoches,139.00
Nantucket,3.00
Napa,121.00
Nash,566.00
Nassau,19960.00
Natchitoches,135.00
Natrona,103.00
Navajo,109.00
Navarro,118.00
Nelson,75.00
Nemaha,7.00
Neosho,8.00
Neshoba,22.00
Nevada,130.00
New Castle,1159.00
New Hanover,451.00
New Haven,2465.00
New Kent,24.00
New London,206.00
New Madrid,26.00
New York,2560664.00
Newaygo,53.00
Newberry,88.00
Newport,51.00
Newport News,1440.00
Newton,345.00
Nez Perce,39.00
Niagara,197.00
Nicholas,40.00
Nicollet,6.00
Niobrara,3.00
Noble,39.00
Nobles,4.00
Nodaway,15.00
Nolan,33.00
Nome,19.00
Norfolk,5177.00
Norman,2.00
North Slope,31.00
Northampton,383.00
Northumberland,69.00
Northwest Arctic,11.00
Norton,11.00
Nottoway,39.00
Nowata,9.00
Noxubee,5.00
Nueces,1971.00
Nye,54.00
O'Brien,5.00
Oakland,1245.00
Obion,40.00
Ocean,281.00
Oceana,30.00
Ochiltree,9.00
Oconee,156.00
Oconto,35.00
Ogemaw,26.00
Ogle,2.00
Oglethorpe,16.00
Ohio,90.00
Okaloosa,29957.00
Okanogan,69.00
Okeechobee,14492.00
Okfuskee,27.00
Oklahoma,17232.00
Okmulgee,122.00
Oktibbeha,52.00
Oldham,47.00
Oliver,1.00
Olmsted,67.00
Oneida,354.00
Onondaga,938.00
Onslow,256.00
Ontario,155.00
Ontonagon,5.00
Orange,696996.00
Orangeburg,554.00
Oregon,20.00
Orleans,92749.00
Osage,95.00
Osborne,2.00
Osceola,78746.00
Oscoda,15.00
Oswego,50.00
Otero,101.00
Otoe,13.00
Otsego,47.00
Ottawa,147.00
Otter Tail,30.00
Ouachita,568.00
Outagamie,60.00
Overton,22.00
Owen,16.00
Owsley,27.00
Owyhee,10.00
Oxford,39.00
Ozark,30.00
Ozaukee,23.00
Pacific,21.00
Page,33.00
Palm Beach,726167.00
Palo Alto,1.00
Palo Pinto,69.00
Pamlico,16.00
Panola,96.00
Park,58.00
Parke,6.00
Parker,121.00
Parmer,11.00
Pasco,156411.00
Pasquotank,77.00
Passaic,1598.00
Patrick,31.00
Paulding,69.00
Pawnee,232.00
Payette,18.00
Payne,77.00
Peach,45.00
Pearl River,39.00
Pecos,44.00
Pembina,8.00
Pemiscot,48.00
Pend Oreille,20.00
Pender,59.00
Pendleton,12.00
Pennington,187.00
Penobscot,127.00
Peoria,200.00
Pepin,3.00
Perkins,1.00
Perquimans,26.00
Perry,356.00
Pershing,15.00
Person,84.00
Petersburg,328.00
Pettis,47.00
Phelps,40.00
Philadelphia,215080.00
Phillips,168.00
Pickaway,28.00
Pickens,209.00
Pickett,5.00
Pierce,2257.00
Pike,471.00
Pima,6200.00
Pinal,516.00
Pine,12.00
Pinellas,359839.00
Piscataquis,18.00
Pitkin,10.00
Pitt,399.00
Pittsburg,91.00
Pittsylvania,165.00
Piute,1.00
Placer,238.00
Plaquemines,62.00
Platte,70.00
Pleasants,9.00
Plumas,49.00
Plymouth,416.00
Pocahontas,28.00
Poinsett,52.00
Pointe Coupee,29.00
Polk,230282.00
Pondera,5.00
Pontotoc,169.00
Pope,79.00
Poquoson,8.00
Portage,105.00
Porter,87.00
Portsmouth,1246.00
Posey,16.00
Pottawatomie,359.00
Pottawattamie,89.00
Potter,983.00
Powder River,1.00
Powell,31.00
Power,10.00
Poweshiek,7.00
Powhatan,29.00
Prairie,18.00
Pratt,5.00
Preble,45.00
Prentiss,9.00
Presidio,23.00
Presque Isle,8.00
Preston,23.00
Price,11.00
Prince Edward,68.00
Prince George,35.00
Prince George's,18948.00
Prince of Wales-Outer Ketchikan,1.00
Prince William,354.00
Providence,1870.00
Prowers,15.00
Pueblo,389.00
Pulaski,7498.00
Pushmataha,43.00
Putnam,30798.00
Quay,19.00
Queen Anne's,42.00
Queens,6.00
Quitman,12.00
Rabun,22.00
Racine,381.00
Radford,10.00
Rains,25.00
Raleigh,1073.00
Ralls,3.00
Ramsey,1457.00
Randall,30.00
Randolph,372.00
Rankin,93.00
Ransom,2.00
Rapides,596.00
Rappahannock,9.00
Ravalli,13.00
Rawlins,1.00
Ray,14.00
Reagan,4.00
Real,12.00
Red Lake,1.00
Red River,59.00
Red Willow,8.00
Redwood,7.00
Reeves,40.00
Refugio,7.00
Reno,49.00
Rensselaer,140.00
Renville,6.00
Repressed,107.00
Republic,4.00
Reynolds,12.00
Rhea,37.00
Rice,30.00
Rich,1.00
Richardson,11.00
Richland,2116.00
Richmond,15474.00
Riley,49.00
Ringgold,2.00
Rio Arriba,31.00
Rio Blanco,13.00
Rio Grande,26.00
Ripley,48.00
Ritchie,28.00
Riverside,7500.00
Roane,105.00
Roanoke,645.00
Roberts,5.00
Robertson,185.00
Robeson,1068.00
Rock,136.00
Rock Island,54.00
Rockbridge,25.00
Rockcastle,64.00
