zipcode,centile,superzip,rank,city,state,latitude,longitude,incident
6073,98.09463,1,331,South Glastonbury,CT,41.66,-72.57,643.00
75082,98.09095,1,332,Richardson,TX,32.98,-96.69,11.00
60521,98.08147,1,333,Hinsdale,IL,41.78,-87.97,6.00
19106,98.07278,1,334,Philadelphia,PA,39.95,-75.15,215080.00
46033,98.06577,1,335,Carmel,IN,39.97,-86.08,17.00
11598,98.05838,1,336,Woodmere,NY,40.63,-73.71,22.00
28765,98.05596,1,,Penland,NC,35.92,-82.11,12.00
30338,98.05009,1,337,Atlanta,GA,33.97,-84.32,16.00
21738,98.04374,1,338,Glenwood,MD,39.28,-77.03,38.00
30309,98.03915,1,339,Atlanta,GA,33.80,-84.39,16.00
78739,98.03359,1,340,Austin,TX,30.17,-97.89,43.00
37027,98.02567,1,341,Brentwood,TN,35.98,-86.82,6.00
75019,98.01315,1,342,Coppell,TX,32.77,-96.78,24.00
48104,98.00198,1,343,Ann Arbor,MI,42.27,-83.73,233.00
94105,97.99634,1,344,San Francisco,CA,37.79,-122.40,14455.00
94025,97.98804,1,345,Menlo Park,CA,37.44,-122.19,7.00
81430,97.98021,1,,Placerville,CO,38.06,-107.99,238.00
95033,97.97816,1,346,Los Gatos,CA,37.19,-121.71,869135.00
2138,97.97018,1,347,Cambridge,MA,42.38,-71.13,181.00
37684,97.96409,1,,Mountain Home,TN,36.27,-82.50,1.00
75025,97.95724,1,348,Plano,TX,33.11,-96.73,238.00
21405,97.95039,1,,Annapolis,MD,38.99,-76.51,233.00
7310,97.94895,1,349,Jersey City,NJ,40.73,-74.04,4.00
21036,97.94725,1,350,Dayton,MD,39.24,-77.00,3.00
77345,97.94303,1,351,Kingwood,TX,29.83,-95.43,208.00
49434,97.93918,1,,Macatawa,MI,42.77,-86.21,102.00
24327,97.93916,1,,Emory,VA,36.78,-81.82,14.00
98112,97.93479,1,352,Seattle,WA,47.43,-121.80,9.00
92679,97.92512,1,353,Trabuco Canyon,CA,33.61,-117.60,6.00
